LA,ESTAB,URN,PERCTOT,PPERSABS10
201,3614,100000,4.3,8.4
202,2000,136807,5.3,15.1
202,2001,139837,4.1,6.3
202,2002,140686,7.1,24.8
202,2019,100008,5.3,13.5
202,2036,100009,5.4,14.3
202,2065,100010,6.7,21
202,2078,100011,5.8,17.3
202,2184,100013,7.1,32.5
202,2219,100014,6,19.9
202,2290,100015,6.9,24.4
202,2436,100018,7.1,24.5
202,2438,100019,4.9,13.6
202,2475,100020,6.5,17.4
202,2502,100021,7.2,26.2
202,2507,100022,5.3,14.8
202,2603,100023,5.1,14.4
202,2775,100025,6.1,18.6
202,2797,100026,6.4,16.9
202,2841,100027,3.7,7.6
202,2842,130342,5.3,13.7
202,2843,132245,4.8,13.4
202,3323,100028,3.7,4.7
202,3327,100029,6,21.5
202,3340,100030,3.8,5.6
202,3352,100031,5.6,15.5
202,3359,100032,6.9,22.6
202,3361,100033,3.9,8.2
202,3370,100034,5.7,18.3
202,3391,100035,5.5,14.6
202,3398,100036,7.1,23.8
202,3441,100040,5.8,17.8
202,3482,100041,7.8,25
202,3517,100042,5.6,15
202,3521,100043,5,10.7
202,3560,100045,7,21.3
202,3568,100046,5.3,15
202,3649,100047,5.5,13
202,3655,100048,7.9,25.4
202,4000,137181,9.9,32.1
202,4104,100049,11,39.8
202,4166,100050,8.3,22.8
202,4196,100051,10.1,35.6
202,4275,100052,7.1,19.6
202,4285,100053,7.7,23.1
202,4611,100054,4.7,9.8
202,4652,100055,6.8,18.5
202,4688,100056,10.6,35.5
202,5401,100059,8.5,27.5
202,7008,100091,8.1,35.7
202,7137,100092,39.1,81.1
202,7205,100096,14.1,41.6
203,2001,148614,3.8,6.7
203,2002,151311,4.9,15.7
203,2018,143211,6.2,17.8
203,2024,143601,6,20.5
203,2028,150068,4.8,14.2
203,2071,100114,6.4,20.4
203,2106,100115,5.3,11
203,2174,100120,7.3,21.4
203,2228,100125,5.2,14.9
203,2242,100126,4.4,11.5
203,2258,100127,3.9,6
203,2266,145210,9.5,26.6
203,2271,100129,6.2,17.3
203,2275,143597,4.4,9.7
203,2299,100131,5.7,17.2
203,2313,143598,5.7,14.7
203,2325,100134,5.3,12.8
203,2353,149683,5.5,17.8
203,2410,100137,4.7,10.7
203,2471,100140,6.1,17.3
203,2552,100141,3.6,6.2
203,2598,100142,5.8,19.5
203,2656,143594,6.1,21.1
203,2662,100146,5.3,13
203,2790,143210,5.5,16.4
203,2798,100149,5.7,17.2
203,2801,149684,5.9,18.2
203,2804,143593,6.7,20.6
203,2813,100152,5.8,14.1
203,2851,148615,5,8.8
203,2877,100155,4.5,11.3
203,2885,143592,5.8,16.3
203,2890,143079,4.4,10.4
203,2900,100158,4.9,12.7
203,2901,100159,6.3,20.7
203,2902,145215,5.4,16.6
203,2915,100162,5.3,15.3
203,2916,100163,4.8,12.8
203,2917,100164,4.7,12.2
203,2918,130921,6.8,20.2
203,2919,143209,5.2,15.8
203,2920,143596,5.9,17.3
203,2921,131246,5.6,15.3
203,2922,131841,5.9,18.6
203,2923,143599,4.7,9.3
203,2924,132800,4.6,14.7
203,2925,132827,5.1,11
203,3322,100165,6,19.6
203,3331,100166,3.2,3.3
203,3338,100167,4.5,7.7
203,3382,100168,3.5,6.7
203,3481,100169,7,25
203,3500,100170,4.2,11.1
203,3526,100171,7.2,22
203,3535,144091,3.3,3.6
203,3561,100173,2.8,5.6
203,3577,100174,3.7,8.2
203,3585,100175,2.5,2.8
203,3604,100176,4.3,9.2
203,3632,100177,3.2,8.5
203,3657,100178,4.8,10.3
203,3662,100179,3.3,7.8
203,3666,100180,3.4,4.8
203,3668,100181,2.9,5.5
203,3670,131109,5.1,13.8
203,4000,138449,9.8,29.7
203,4001,138245,5.3,15
203,4005,143686,7.4,23.4
203,4006,143927,9.2,28.3
203,4007,145315,7.8,24
203,4008,145895,6.6,18.1
203,4009,147439,7.9,19.8
203,4077,100182,6.9,17.5
203,4130,100183,10.7,32.4
203,4250,141163,7.2,20.3
203,4271,141309,7.8,22.6
203,4294,100190,10.5,30.5
203,4682,100193,7.1,17.9
203,4716,141716,4.4,7.7
203,6905,105135,7.6,21
203,7118,100204,17,57.5
203,7199,138547,11.1,34.7
203,7200,133401,17.1,58.3
203,7201,143595,12,33.6
204,2001,139814,4.3,10.4
204,2002,140426,3.2,5.8
204,2003,141750,5.8,14.8
204,2004,142112,4.5,8.8
204,2005,145730,1.6,1.1
204,2048,100218,5.6,16.8
204,2120,100221,4.7,14.5
204,2150,100223,4.4,10.4
204,2155,100224,6.5,28.3
204,2238,100225,10.4,42.6
204,2376,100229,4.9,9.6
204,2388,100230,4.8,11
204,2421,100231,5.3,12.3
204,2431,100232,5,11.4
204,2444,141576,4.5,11.5
204,2450,100234,4.4,11.6
204,2487,100235,5.6,15
204,2489,100236,5,17.9
204,2532,100239,5.9,19.3
204,2533,130302,4.6,9.4
204,2534,130303,3.7,7.8
204,2539,100240,4,6.1
204,2545,100241,4.3,10.6
204,2564,100242,5,15.6
204,2592,100243,6.4,21.3
204,2615,100244,5.6,18
204,2636,100245,6.4,17.8
204,2654,100248,5.9,18.1
204,2779,100250,3.8,5
204,2795,100251,6.2,21.5
204,2856,100252,5.4,13.3
204,2859,100253,5.6,11.1
204,2860,100254,7,22.8
204,2861,100255,7.1,27.8
204,2862,100256,6.2,20.6
204,2863,100257,4.2,8.6
204,2864,100258,4.2,8
204,2865,100259,5.4,13
204,2872,100260,9.8,30.4
204,2896,100261,4.8,6.8
